TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-04 05:32:09.598000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-04 05:32:09.430000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-04 05:27:20.448000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:27:20.676000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:27:20.685000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:27:20.692000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:30:16.995000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-04 05:30:17.110000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-04 05:30:17.188000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-04 05:30:17.870000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-04 05:25:54.419000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:25:54.432000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:25:54.441000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:25:55.458000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 05:24:11.799000000,Invalid character,Internet Explorer,Internet Explorer 13.10553,Windows,Windows 10,1920X1200,North America,United States,Washington,Bellevue,72CA9DDA-2409-4AF2-B3AE-3607BAB4F01B,,C00D5832-54D6-4D13-BE28-22FD069F3897,False,78da247b-c5cd-4f0d-941b-915ae7b9d116
2015-10-04 05:24:11.818000000,Invalid character,Internet Explorer,Internet Explorer 13.10553,Windows,Windows 10,1920X1200,North America,United States,Washington,Bellevue,72CA9DDA-2409-4AF2-B3AE-3607BAB4F01B,,C00D5832-54D6-4D13-BE28-22FD069F3897,False,78da247b-c5cd-4f0d-941b-915ae7b9d116
2015-10-04 05:24:11.848000000,Invalid character,Internet Explorer,Internet Explorer 13.10553,Windows,Windows 10,1920X1200,North America,United States,Washington,Bellevue,72CA9DDA-2409-4AF2-B3AE-3607BAB4F01B,,C00D5832-54D6-4D13-BE28-22FD069F3897,False,78da247b-c5cd-4f0d-941b-915ae7b9d116
